area_name,sa4_code,sa4_name,sa2_main,sa2_name,area_sqkm,poi_count,z_poi,score
area_1,120,Sydney - Inner West,120011385,Drummoyne - Rodd Point,3.7047,267,2.607473249741563,0.9313409993671848
area_1,120,Sydney - Inner West,120021389,Lilyfield - Rozelle,3.6039,235,2.133130525370602,0.8940818334846162
area_1,120,Sydney - Inner West,120021675,Leichhardt,2.9838,192,1.495732489497123,0.8169371293443725
area_1,120,Sydney - Inner West,120021387,Balmain,2.5815,152,0.9028040840334215,0.7115254017224231
area_1,120,Sydney - Inner West,120031395,Haberfield - Summer Hill,3.4746,121,0.44328456979905284,0.6090413990786662
area_1,120,Sydney - Inner West,120011383,Concord - Mortlake - Cabarita,6.3199,113,0.3246988887063126,0.5804689785473602
area_1,120,Sydney - Inner West,120011386,Five Dock - Abbotsford,4.6202,89,-0.03105815457190827,0.49223608544212216
area_1,120,Sydney - Inner West,120031678,Burwood (NSW),1.905,87,-0.06070457484509334,0.48482851497021234
area_1,120,Sydney - Inner West,120031393,Croydon Park - Enfield,3.9711,79,-0.17929025593783363,0.4552971197348553
area_1,120,Sydney - Inner West,120031396,Homebush,3.8432,63,-0.41646161812331417,0.3973637631020462
area_1,120,Sydney - Inner West,120031677,Ashfield - South,2.1091,58,-0.49057766880627685,0.37975749309340345
area_1,120,Sydney - Inner West,120021674,Annandale (NSW),1.4885,58,-0.49057766880627685,0.37975749309340345
area_1,120,Sydney - Inner West,120011672,Concord West - North Strathfield,4.0969,57,-0.5054008789428694,0.3762722841749949
area_1,120,Sydney - Inner West,120031681,Strathfield - West,3.9101,57,-0.5054008789428694,0.3762722841749949
area_1,120,Sydney - Inner West,120031679,Croydon,2.5877,53,-0.5646937194892395,0.362462120717063
area_1,120,Sydney - Inner West,120031680,Strathfield - East,2.5414,53,-0.5646937194892395,0.362462120717063
area_1,120,Sydney - Inner West,120031394,Dulwich Hill - Lewisham,2.7016,49,-0.6239865600356097,0.348875314430572
area_1,120,Sydney - Inner West,120031392,Canterbury (North) - Ashbury,3.0278,44,-0.6981026107185724,0.3322330376227714
area_1,120,Sydney - Inner West,120031676,Ashfield - North,1.5609,32,-0.8759811323576828,0.2940112786967174
area_1,120,Sydney - Inner West,120011673,Rhodes,1.006,31,-0.8908043424942753,0.29094386727230537
area_1,120,Sydney - Inner West,120031576,Strathfield South,2.5112,23,-1.0093900235870157,0.2670992410933125
